transaction_id,product_id,transaction_date,transaction_time,transaction_type,quantity,from_warehouse,to_warehouse,unit_cost,total_value,reference_id,employee_id
INV0000063,CLTH-000471,2020-03-03,12:53:57,Ship,-35,WH07,,31.02,,,EMP00098
INV0000064,CLTH-000503,2021-08-16,11:16:31,Receive,154,WH05,,71.94,11078.76,PO79585,EMP00096
INV0000065,ELEC-000104,2023-11-05,19:47:50,Adjust,2,WH01,,646.02,1292.04,,EMP00061
INV0000066,SPRT-001488,2020-02-09,12:08:53,Receive,128,WH03,,143.86,18414.08,PO22235,EMP00065
INV0000067,BOOK-002299,2020-10-01,13:10:19,Receive,92,WH04,,31.35,2884.2,PO99614,EMP00014
INV0000068,GRDN-003250,2021-10-13,04:03:11,Receive,66,WH07,,14.32,945.12,PO17138,EMP00064
INV0000069,FURN-002783,2021-05-13,23:23:45,Ship,-9,WH07,,628.49,,,EMP00043
INV0000070,JEWL-002607,2023-09-05,15:01:54,Ship,-29,WH06,,271.06,,,EMP00080
INV0000071,GROC-000823,2021-06-20,11:02:24,Ship,-46,WH03,,48.03,,,EMP00022
INV0000072,GROC-000911,2022-06-08,22:17:57,Receive,51,WH06,,11.15,568.65,PO35593,EMP00002
INV0000073,GROC-000888,2019-09-06,14:55:55,Receive,112,WH03,,27.14,3039.68,PO71769,EMP00020
INV0000074,TOYS-001945,2019-08-19,19:21:47,Ship,-41,WH07,,30.23,,,EMP00047
INV0000075,GRDN-003187,2020-05-15,22:53:36,Receive,177,WH02,,41.82,7402.14,PO25271,EMP00016
INV0000076,BEAU-001175,2021-06-30,01:56:50,Receive,171,WH03,,31.54,5393.34,PO52648,EMP00033
INV0000077,CLTH-000183,2020-10-19,09:59:40,Return,5,WH02,,90.07,450.35,,EMP00009
INV0000078,GROC-001012,2020-01-16,18:17:15,Receive,56,WH05,,25.39,1421.84,PO95812,EMP00090
INV0000079,SPRT-001690,2022-10-18,00:38:30,Ship,-16,WH04,,131.15,,,EMP00032
INV0000080,SPRT-001562,2019-09-25,19:38:10,Receive,82,WH06,,181.65,14895.3,PO68146,EMP00062
INV0000081,CLTH-000304,2022-01-15,04:49:02,Receive,94,WH05,,154.5,14523.0,PO96314,EMP00035
INV0000082,GRDN-003137,2019-10-09,01:22:11,Adjust,9,WH02,,9.31,83.79,,EMP00059
INV0000083,BOOK-002217,2021-06-15,09:35:39,Receive,22,WH02,,18.19,400.18,PO15153,EMP00042
INV0000084,ELEC-000106,2023-02-21,07:18:58,Ship,-3,WH07,,717.79,,,EMP00026
INV0000085,FURN-003045,2023-03-07,07:53:17,Ship,-50,WH05,,612.19,,,EMP00070
INV0000086,BOOK-002299,2019-09-18,14:16:01,Receive,65,WH03,,31.35,2037.75,PO10086,EMP00001
INV0000087,JEWL-002464,2021-01-30,17:00:17,Receive,138,WH06,,114.31,15774.78,PO37573,EMP00081
INV0000088,FURN-002815,2020-04-14,05:42:27,Ship,-50,WH08,,608.56,,,EMP00035
INV0000089,AUTO-002155,2019-09-05,03:14:42,Ship,-12,WH05,,49.25,,,EMP00027
INV0000090,GRDN-003211,2023-08-23,08:23:45,Count,0,WH02,,6.6,,,EMP00006
INV0000091,GROC-000875,2020-06-29,14:05:35,Receive,19,WH03,,15.56,295.64,PO26151,EMP00073
INV0000092,BEAU-001423,2023-04-25,19:45:33,Ship,-33,WH06,,13.97,,,EMP00075
INV0000093,SPRT-001665,2020-09-24,03:58:06,Receive,42,WH04,,156.05,6554.1,PO52927,EMP00007
INV0000094,GRDN-003211,2021-06-07,18:15:52,Receive,145,WH04,,6.6,957.0,PO15114,EMP00052
INV0000095,BOOK-002327,2021-10-25,00:08:41,Receive,151,WH03,,13.68,2065.68,PO25652,EMP00007
INV0000096,FURN-002919,2020-01-12,03:07:35,Receive,121,WH01,,491.94,59524.74,PO88282,EMP00079
INV0000097,GROC-000853,2021-12-27,04:19:55,Receive,163,WH01,,45.06,7344.78,PO96503,EMP00015
INV0000098,FURN-003049,2023-11-16,17:23:21,Ship,-7,WH01,,583.41,,,EMP00057
INV0000099,TOYS-002005,2021-01-13,03:36:51,Receive,137,WH07,,17.29,2368.73,PO25196,EMP00086
INV0000100,HOME-000523,2021-06-05,12:53:43,Ship,-20,WH06,,48.98,,,EMP00014
INV0000101,FURN-003052,2021-11-25,05:52:07,Receive,35,WH04,,680.99,23834.65,PO24228,EMP00082
INV0000102,BEAU-001219,2021-10-04,12:24:29,Ship,-10,WH07,,51.19,,,EMP00077
INV0000103,GRDN-003210,2022-11-01,11:53:57,Receive,105,WH01,,15.87,1666.35,PO75295,EMP00089
INV0000104,BEAU-001234,2021-04-09,04:47:22,Receive,14,WH04,,40.28,563.92,PO48508,EMP00003
INV0000105,CLTH-000211,2023-05-16,01:24:48,Receive,170,WH01,,123.27,20955.9,PO89614,EMP00059
INV0000106,SPRT-001721,2020-03-16,06:16:19,Receive,90,WH02,,58.32,5248.8,PO45950,EMP00078
INV0000107,FURN-002831,2020-04-03,14:23:07,Ship,-1,WH06,,47.75,,,EMP00071
INV0000108,GRDN-003128,2020-06-15,12:25:36,Receive,88,WH08,,16.95,1491.6,PO10284,EMP00008
INV0000109,GROC-000736,2019-09-09,03:46:01,Count,0,WH02,,15.02,,,EMP00069
INV0000110,GROC-001136,2021-11-24,23:13:40,Ship,-7,WH02,,38.26,,,EMP00038
INV0000111,SPRT-001501,2023-12-29,09:47:48,Receive,63,WH06,,35.23,2219.49,PO75468,EMP00091
INV0000112,BEAU-001187,2021-02-10,04:12:10,Receive,30,WH08,,16.73,501.9,PO18901,EMP00037
INV0000113,BOOK-002366,2021-12-21,08:50:50,Receive,173,WH03,,45.37,7849.01,PO59731,EMP00082
INV0000114,FURN-002977,2022-03-12,01:21:10,Transfer,17,WH01,WH07,362.64,6164.88,,EMP00057
INV0000115,BOOK-002235,2021-10-30,11:57:42,Return,2,WH02,,6.24,12.48,,EMP00001
INV0000116,GROC-000981,2023-10-07,07:33:53,Adjust,-3,WH08,,11.46,,,EMP00028
INV0000117,JEWL-002437,2021-12-24,00:27:25,Transfer,-12,WH05,WH08,341.59,,,EMP00084
INV0000118,GROC-000895,2021-08-02,17:28:18,Ship,-39,WH03,,16.66,,,EMP00064
INV0000119,CLTH-000382,2023-03-30,19:53:50,Ship,-14,WH05,,22.14,,,EMP00070
INV0000120,JEWL-002662,2022-07-11,16:46:06,Receive,180,WH04,,287.45,51741.0,PO88040,EMP00081
INV0000121,AUTO-002016,2021-04-16,10:01:11,Adjust,-4,WH03,,89.76,,,EMP00020
INV0000122,GROC-000848,2021-05-14,19:47:50,Adjust,-2,WH05,,27.2,,,EMP00051
INV0000123,HOME-000650,2020-06-27,00:53:53,Ship,-42,WH07,,815.55,,,EMP00060
INV0000124,ELEC-000060,2020-02-22,10:46:43,Adjust,4,WH08,,345.84,1383.36,,EMP00061
INV0000125,SPRT-001532,2019-12-29,12:48:11,Return,4,WH01,,66.52,266.08,,EMP00076
INV0000126,GROC-001033,2022-07-14,00:12:34,Receive,19,WH08,,28.21,535.99,PO55857,EMP00097
INV0000127,SPRT-001472,2021-01-24,01:33:44,Ship,-8,WH07,,130.44,,,EMP00066
INV0000128,FURN-003078,2023-09-15,11:42:51,Ship,-4,WH02,,647.13,,,EMP00077
INV0000129,GRDN-003229,2023-09-21,21:25:45,Adjust,9,WH04,,42.38,381.42,,EMP00032
INV0000130,CLTH-000504,2021-04-12,14:06:48,Count,0,WH08,,124.23,,,EMP00055
INV0000131,GROC-000863,2023-10-25,21:21:40,Receive,35,WH07,,12.94,452.9,PO46730,EMP00092
INV0000132,JEWL-002619,2019-11-13,00:29:16,Receive,123,WH02,,44.36,5456.28,PO87616,EMP00047
INV0000133,SPRT-001569,2022-05-18,12:23:17,Receive,45,WH04,,73.12,3290.4,PO97641,EMP00087
INV0000134,AUTO-002040,2022-07-09,21:29:01,Receive,151,WH06,,107.95,16300.45,PO40466,EMP00081
INV0000135,GRDN-003224,2021-09-15,06:26:53,Ship,-18,WH02,,52.72,,,EMP00093
INV0000136,FURN-002813,2022-10-06,17:07:51,Receive,24,WH03,,753.24,18077.76,PO27716,EMP00031
INV0000137,GROC-000963,2020-05-10,23:10:20,Receive,26,WH08,,16.13,419.38,PO11373,EMP00075
INV0000138,GROC-001115,2020-07-13,10:01:23,Receive,120,WH04,,51.1,6132.0,PO31569,EMP00072
INV0000139,FURN-003111,2021-12-24,12:20:21,Receive,174,WH03,,781.66,136008.84,PO55424,EMP00076
INV0000140,SPRT-001777,2022-09-06,20:17:50,Receive,32,WH06,,161.87,5179.84,PO18695,EMP00003
INV0000141,BOOK-002187,2021-05-23,15:12:02,Ship,-43,WH03,,46.61,,,EMP00097
INV0000142,GROC-000917,2020-04-03,03:45:14,Receive,105,WH02,,58.3,6121.5,PO25755,EMP00051
INV0000143,FURN-002790,2020-05-03,06:54:34,Receive,111,WH02,,745.33,82731.63,PO38577,EMP00049
INV0000144,JEWL-002541,2021-01-30,17:19:23,Receive,102,WH06,,197.5,20145.0,PO64506,EMP00051
INV0000145,TOYS-001961,2019-09-22,10:50:14,Receive,183,WH04,,19.39,3548.37,PO60830,EMP00048
INV0000146,CLTH-000226,2020-04-28,15:54:39,Receive,169,WH01,,160.84,27181.96,PO17706,EMP00045
INV0000147,CLTH-000467,2021-05-10,22:39:55,Receive,191,WH07,,134.39,25668.49,PO84565,EMP00099
INV0000148,FURN-002740,2022-08-27,03:17:17,Ship,-19,WH08,,455.51,,,EMP00017
INV0000149,BEAU-001299,2023-07-24,20:53:38,Receive,138,WH06,,54.48,7518.24,PO51651,EMP00081
INV0000150,GROC-000817,2021-05-05,17:18:59,Receive,107,WH03,,6.17,660.19,PO56672,EMP00091
INV0000151,GROC-001132,2019-11-03,22:45:26,Receive,68,WH04,,19.76,1343.68,PO39299,EMP00091
INV0000152,JEWL-002501,2020-01-24,22:55:46,Ship,-3,WH02,,143.41,,,EMP00033
INV0000153,JEWL-002436,2023-06-16,00:37:51,Ship,-43,WH04,,41.99,,,EMP00038
INV0000154,GROC-000795,2023-03-30,03:40:25,Receive,20,WH07,,16.99,339.8,PO25513,EMP00079
INV0000155,GROC-001138,2019-08-03,01:56:34,Receive,58,WH07,,34.47,1999.26,PO54261,EMP00022
INV0000156,CLTH-000373,2021-10-17,14:00:08,Count,0,WH02,,925.53,,,EMP00094
INV0000157,HOME-000724,2022-10-03,02:02:39,Ship,-40,WH02,,31.7,,,EMP00083
INV0000158,FURN-003073,2020-08-28,16:26:51,Ship,-10,WH05,,428.14,,,EMP00020
INV0000159,GROC-000764,2021-11-03,05:14:20,Receive,10,WH04,,59.85,598.5,PO57563,EMP00006
INV0000160,FURN-002912,2020-08-19,21:48:40,Receive,95,WH01,,897.74,85285.3,PO73010,EMP00009
INV0000161,JEWL-002441,2019-10-14,19:54:03,Transfer,27,WH07,WH04,180.13,4863.51,,EMP00099
INV0000162,BOOK-002364,2020-07-28,19:39:04,Ship,-28,WH07,,57.53,,,EMP00066
INV0000163,FURN-002715,2020-03-17,21:08:07,Count,0,WH03,,421.69,,,EMP00090
INV0000164,GROC-000746,2022-08-24,14:44:35,Ship,-42,WH04,,44.74,,,EMP00058
INV0000165,GROC-001134,2021-08-17,21:35:44,Ship,-17,WH01,,23.75,,,EMP00005
INV0000166,BEAU-001422,2020-06-13,17:06:37,Receive,169,WH01,,38.91,6575.79,PO40760,EMP00065
INV0000167,GROC-001093,2023-02-04,20:42:23,Ship,-30,WH08,,59.66,,,EMP00017
INV0000168,FURN-002945,2023-11-10,12:11:01,Receive,105,WH06,,493.6,51828.0,PO31390,EMP00015
INV0000169,SPRT-001754,2023-12-10,05:37:19,Ship,-24,WH05,,89.84,,,EMP00018
INV0000170,SPRT-001650,2023-02-17,20:16:32,Receive,68,WH05,,176.53,12004.04,PO59826,EMP00031
INV0000171,HOME-000709,2023-06-26,21:15:30,Transfer,-24,WH08,WH03,79.27,,,EMP00071
INV0000172,JEWL-002519,2023-03-04,22:55:49,Adjust,-2,WH06,,59.98,,,EMP00091
INV0000173,ELEC-000143,2021-06-03,10:18:28,Receive,169,WH05,,74.88,12654.72,PO19451,EMP00013
INV0000174,AUTO-002032,2021-11-25,03:39:37,Receive,47,WH02,,131.48,6179.56,PO94158,EMP00031
INV0000175,GROC-000990,2020-05-21,23:11:13,Ship,-23,WH04,,3.97,,,EMP00037
INV0000176,ELEC-000012,2020-11-30,01:23:52,Ship,-5,WH05,,455.26,,,EMP00018
INV0000177,GROC-001143,2020-04-21,12:21:16,Receive,63,WH02,,22.83,1438.29,PO12667,EMP00007
INV0000178,HOME-000729,2020-05-03,21:10:55,Adjust,1,WH07,,39.99,39.99,,EMP00010
INV0000179,CLTH-000394,2023-12-28,04:27:03,Adjust,3,WH08,,149.85,449.55,,EMP00002
INV0000180,HOME-000541,2023-08-11,06:09:43,Receive,199,WH02,,76.4,15203.6,PO98648,EMP00085
INV0000181,AUTO-002157,2022-10-03,19:24:42,Adjust,-1,WH07,,17.38,,,EMP00098
INV0000182,FURN-002766,2020-11-19,14:26:37,Receive,22,WH01,,974.23,21433.06,PO57152,EMP00061
INV0000183,JEWL-002460,2020-12-19,17:52:54,Receive,108,WH07,,588.45,63552.6,PO82696,EMP00064
INV0000184,GRDN-003164,2023-06-16,18:38:37,Ship,-43,WH03,,18.76,,,EMP00082
INV0000185,JEWL-002485,2023-06-02,10:17:51,Return,4,WH02,,41.59,166.36,,EMP00073
INV0000186,SPRT-001547,2022-03-07,21:25:41,Adjust,3,WH06,,34.76,104.28,,EMP00070
INV0000187,GROC-000879,2023-04-16,12:15:01,Receive,135,WH01,,19.02,2567.7,PO66476,EMP00005
INV0000188,SPRT-001678,2022-04-24,01:20:01,Receive,65,WH04,,52.83,3433.95,PO41203,EMP00089
INV0000189,FURN-003065,2020-12-16,02:41:12,Receive,46,WH05,,485.46,22331.16,PO17460,EMP00069
INV0000190,TOYS-001895,2019-10-30,23:53:49,Receive,69,WH02,,48.69,3359.61,PO23725,EMP00025
INV0000191,GROC-001120,2021-05-26,11:15:45,Ship,-4,WH04,,24.31,,,EMP00099
INV0000192,GROC-001028,2023-12-10,14:30:08,Ship,-40,WH06,,4.9,,,EMP00072
INV0000193,BEAU-001274,2021-02-04,11:16:47,Adjust,-8,WH04,,36.79,,,EMP00037
INV0000194,JEWL-002486,2022-07-28,04:49:50,Transfer,-35,WH07,WH01,410.24,,,EMP00062
INV0000195,SPRT-001635,2022-06-08,05:36:42,Receive,147,WH02,,15.37,2259.39,PO95818,EMP00027
INV0000196,FURN-003082,2023-11-07,11:32:31,Receive,117,WH08,,302.99,35449.83,PO98563,EMP00030
INV0000197,GROC-001140,2021-09-04,02:04:07,Return,1,WH08,,45.11,45.11,,EMP00020
INV0000198,ELEC-000137,2022-06-09,11:08:46,Ship,-45,WH04,,301.64,,,EMP00045
INV0000199,SPRT-001561,2020-03-05,13:33:08,Ship,-32,WH07,,67.54,,,EMP00063
INV0000200,AUTO-002127,2021-01-09,21:52:10,Adjust,5,WH07,,19.9,99.5,,EMP00066
INV0000201,BEAU-001361,2020-02-07,05:43:53,Transfer,20,WH05,WH02,18.78,375.6,,EMP00002
INV0000202,FURN-002786,2021-12-07,22:10:41,Receive,160,WH03,,359.44,57510.4,PO99202,EMP00010
INV0000203,FURN-002767,2020-09-16,19:11:13,Receive,18,WH05,,263.13,4736.34,PO55323,EMP00094
INV0000204,GRDN-003242,2019-10-27,17:45:37,Adjust,1,WH08,,24.28,24.28,,EMP00023
INV0000205,BOOK-002273,2023-10-03,03:41:47,Receive,186,WH05,,16.53,3074.58,PO10262,EMP00032
INV0000206,CLTH-000300,2021-11-22,11:43:42,Adjust,-2,WH07,,90.65,,,EMP00066
INV0000207,TOYS-001859,2019-11-06,17:34:20,Receive,79,WH01,,2.98,235.42,PO73904,EMP00037
INV0000208,HOME-000721,2022-04-11,04:55:49,Receive,141,WH04,,163.82,23098.62,PO75216,EMP00058
INV0000209,JEWL-002498,2021-04-17,18:17:40,Ship,-33,WH08,,453.48,,,EMP00043
INV0000210,FURN-002704,2021-04-30,17:22:01,Ship,-12,WH06,,50.94,,,EMP00037
INV0000211,CLTH-000360,2022-04-23,03:56:43,Ship,-28,WH03,,96.91,,,EMP00069
INV0000212,BEAU-001270,2020-08-24,23:45:52,Receive,195,WH07,,38.5,7507.5,PO61349,EMP00099
INV0000213,BOOK-002318,2022-05-12,19:57:18,Ship,-24,WH01,,45.39,,,EMP00021
INV0000214,JEWL-002698,2020-10-06,12:07:39,Adjust,5,WH01,,27.64,138.2,,EMP00054
INV0000215,GROC-001000,2019-12-28,10:15:04,Ship,-19,WH02,,7.06,,,EMP00013
INV0000216,SPRT-001589,2019-10-11,21:34:16,Receive,65,WH06,,123.1,8001.5,PO85576,EMP00024
INV0000217,JEWL-002608,2021-03-09,13:05:31,Ship,-33,WH02,,150.16,,,EMP00090
INV0000218,GROC-001150,2021-10-17,02:16:47,Transfer,-44,WH08,WH06,22.55,,,EMP00096
INV0000219,ELEC-000139,2023-08-13,01:26:06,Receive,134,WH05,,157.93,21162.62,PO17094,EMP00080
INV0000220,BEAU-001224,2020-08-01,05:17:46,Ship,-39,WH06,,26.41,,,EMP00052
INV0000221,CLTH-000186,2020-03-29,12:34:19,Receive,140,WH03,,150.97,21135.8,PO33218,EMP00023
INV0000222,GROC-001126,2021-12-05,23:56:49,Receive,170,WH01,,8.1,1377.0,PO93130,EMP00028
INV0000223,ELEC-000045,2019-11-27,14:43:11,Receive,32,WH02,,326.39,10444.48,PO47185,EMP00046
INV0000224,CLTH-000303,2020-06-03,06:22:29,Adjust,5,WH07,,827.09,4135.45,,EMP00037
INV0000225,BEAU-001300,2022-12-26,16:49:28,Receive,102,WH04,,41.26,4208.52,PO24955,EMP00077
INV0000226,TOYS-001963,2022-07-21,02:11:17,Ship,-16,WH08,,61.06,,,EMP00100
INV0000227,GROC-000847,2021-12-25,06:15:58,Ship,-6,WH04,,47.56,,,EMP00079
INV0000228,FURN-002841,2022-08-28,02:52:29,Return,5,WH02,,274.86,1374.3,,EMP00041
INV0000229,BEAU-001256,2023-07-26,04:40:18,Receive,75,WH06,,36.02,2701.5,PO85947,EMP00032
INV0000230,BOOK-002292,2023-02-04,22:05:03,Receive,127,WH07,,21.06,2674.62,PO19561,EMP00065
INV0000231,ELEC-000142,2021-04-26,06:05:32,Ship,-26,WH06,,469.95,,,EMP00074
INV0000232,AUTO-002078,2023-07-26,14:18:15,Receive,177,WH05,,119.27,21110.79,PO60104,EMP00065
INV0000233,BOOK-002282,2023-08-27,06:11:39,Adjust,3,WH04,,6.05,18.15,,EMP00064
INV0000234,SPRT-001678,2021-06-24,23:28:40,Transfer,9,WH06,WH02,52.83,475.47,,EMP00072
INV0000235,SPRT-001664,2021-09-07,18:44:53,Adjust,8,WH06,,46.23,369.84,,EMP00050
INV0000236,AUTO-002132,2020-11-08,01:14:25,Count,0,WH06,,44.29,,,EMP00057
INV0000237,FURN-002736,2021-12-13,02:40:15,Ship,-15,WH08,,602.98,,,EMP00051
INV0000238,BEAU-001328,2019-12-10,15:55:37,Receive,124,WH05,,17.36,2152.64,PO34950,EMP00079
INV0000239,SPRT-001672,2023-11-09,15:55:29,Ship,-50,WH04,,104.2,,,EMP00059
INV0000240,GRDN-003137,2022-06-01,13:51:21,Receive,199,WH05,,9.31,1852.69,PO66471,EMP00004
INV0000241,JEWL-002530,2023-07-02,18:14:12,Receive,156,WH04,,421.59,65768.04,PO74866,EMP00070
INV0000242,GROC-000815,2023-03-18,22:29:36,Receive,116,WH04,,9.03,1047.48,PO55872,EMP00021
INV0000243,FURN-002713,2019-09-02,04:32:00,Ship,-38,WH08,,541.33,,,EMP00019
INV0000244,BEAU-001265,2021-10-21,22:43:31,Receive,99,WH08,,29.3,2900.7,PO56175,EMP00020
INV0000245,JEWL-002683,2019-11-28,17:11:38,Receive,131,WH04,,749.24,98150.44,PO73054,EMP00017
INV0000246,JEWL-002584,2022-11-01,08:24:28,Receive,195,WH01,,368.41,71839.95,PO75114,EMP00035
INV0000247,FURN-002935,2023-10-08,04:25:05,Receive,177,WH04,,31.04,5494.08,PO81790,EMP00024
INV0000248,SPRT-001756,2022-10-27,08:46:33,Receive,12,WH08,,159.53,1914.36,PO79721,EMP00097
INV0000249,BOOK-002379,2023-11-30,03:15:21,Receive,174,WH06,,10.65,1853.1,PO65283,EMP00066
INV0000250,AUTO-002015,2020-10-05,09:32:24,Ship,-28,WH06,,89.25,,,EMP00034
INV0000251,FURN-002747,2021-12-23,18:15:57,Ship,-21,WH03,,1104.34,,,EMP00085
INV0000252,JEWL-002651,2023-08-15,23:14:46,Ship,-42,WH06,,103.7,,,EMP00097
INV0000253,BOOK-002334,2023-11-19,20:36:45,Receive,128,WH02,,39.3,5030.4,PO36052,EMP00062
